TIME	VP	VN
25600	0.128089406	0
25700	0.138069179	0
25800	0.149477328	0
25900	0.16226883	0
26000	0.176393202	0
26100	0.191794703	0
26200	0.208412549	0
26300	0.226181158	0
26400	0.245030404	0
26500	0.264885899	0
26600	0.285669282	0
26700	0.30729853	0
26800	0.329688283	0
26900	0.352750179	0
27000	0.376393202	0
27100	0.400524045	0
27200	0.425047474	0
27300	0.449866707	0
27400	0.474883792	0
27500	0.5	0
27600	0.525116208	0
27700	0.550133293	0
27800	0.574952526	0
27900	0.599475955	0
28000	0.623606798	0
28100	0.647249821	0
28200	0.670311717	0
28300	0.69270147	0
28400	0.714330718	0
28500	0.735114101	0
28600	0.754969596	0
28700	0.773818842	0
28800	0.791587451	0
28900	0.808205297	0
29000	0.823606798	0
29100	0.83773117	0
29200	0.850522672	0
29300	0.861930821	0
29400	0.871910594	0
29500	0.880422607	0
29600	0.887433264	0
29700	0.8929149	0
29800	0.896845881	0
29900	0.899210691	0
30000	0.9	0
30100	0.899210691	0
30200	0.896845881	0
30300	0.8929149	0
30400	0.887433264	0
30500	0.880422607	0
30600	0.871910594	0
30700	0.861930821	0
30800	0.850522672	0
30900	0.83773117	0
31000	0.823606798	0
31100	0.808205297	0
31200	0.791587451	0
31300	0.773818842	0
31400	0.754969596	0
31500	0.735114101	0
31600	0.714330718	0
31700	0.69270147	0
31800	0.670311717	0
31900	0.647249821	0
32000	0.623606798	0
32100	0.599475955	0
32200	0.574952526	0
32300	0.550133293	0
32400	0.525116208	0
32500	0.5	0
32600	0.474883792	0
32700	0.449866707	0
32800	0.425047474	0
32900	0.400524045	0
33000	0.376393202	0
33100	0.352750179	0
33200	0.329688283	0
33300	0.30729853	0
33400	0.285669282	0
33500	0.264885899	0
33600	0.245030404	0
33700	0.226181158	0
33800	0.208412549	0
33900	0.191794703	0
34000	0.176393202	0
34100	0.16226883	0
34200	0.149477328	0
34300	0.138069179	0
34400	0.128089406	0
34500	0.119577393	0
34600	0.112566736	0
34700	0.1070851	0
34800	0.103154119	0
34900	0.100789309	0
35000	0.1	0
35100	0.100789309	0
35200	0.103154119	0
35300	0.1070851	0
35400	0.112566736	0
35500	0.119577393	0
35600	0.128089406	0
35700	0.138069179	0
35800	0.149477328	0
35900	0.16226883	0
36000	0.176393202	0
36100	0.191794703	0
36200	0.208412549	0
36300	0.226181158	0
36400	0.245030404	0
36500	0.264885899	0
36600	0.285669282	0
36700	0.30729853	0
36800	0.329688283	0
36900	0.352750179	0
37000	0.376393202	0
37100	0.400524045	0
37200	0.425047474	0
37300	0.449866707	0
37400	0.474883792	0
37500	0.5	0
37600	0.525116208	0
